COD,Tipo,Marca,Nome,Descricao,Cor,Numeracao,Preco,Promo,Imagem,https://docs.google.com/spreadsheets/d/1iJWzCXX6PbIHvN8yzLmG-X0m1U0CCxuR-WJQhEODkL8/edit?gid=1979988840#gid=1979988840
1,Sandália,Azaléia,Sandália Purple,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Roxo,32;33;34;35;36;37;38;39,"R$ 120,00",,https://i.ibb.co/s9vkdQRn/Sandalia01.png,
2,Sandália,Azaléia,Sandália Blue,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Azul,32;33;34;35;36;37,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
3,Bota,Azaléia,Pink,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Azul,32;33;34;35;36;38,"R$ 120,00","R$ 90,00",https://i.ibb.co/1GrHbr30/bota.png,
4,Tênis,Azaléia,Tenis Fila ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Rosa,32;33;34;35;36;39,"R$ 120,00",,https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png,
5,Bota,Azaléia,Black night,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Preto,32;33,"R$ 120,00",,https://i.ibb.co/WvwSCgFn/bota.png,
6,Tênis,Azaléia,Tenis Green,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png,
7,Sapato,Azaléia,Orange c,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,32;33;34;35;36;42,"R$ 120,00",,https://i.ibb.co/nqvTycSx/Sanalia02.png,
8,Sapato,Azaléia,Orange a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,32;33;34;35;36;43,"R$ 80,00",,https://i.ibb.co/1GrHbr30/bota.png,
9,Sapato,Azaléia,Orange b,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,,"R$ 80,00",,https://i.ibb.co/1GrHbr30/bota.png,
10,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,32,"R$ 80,00",,https://i.ibb.co/1GrHbr30/bota.png,
